V2,V81,V84,V297,V417,V420,V497,V601,V713,V721,V86,V103,V104,V370,V6,V868,V7,V172,V279,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V610
1431,WEIBLICH,73,VERHEIRAT.ZUSAM.LEB.,1000,1000 - 1124 EURO,1333,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,MITTELSCHICHT,22.04,MANCHMAL,MANCHMAL,OFT,OFT,FAST NIE,NIE,MANCHMAL,FAST NIE,MANCHMAL,MANCHMAL,NIE,GANZ ZUFRIEDEN
1432,WEIBLICH,58,VERWITWET,1100,1000 - 1124 EURO,1733,EVANG.OHNE FREIKIRCH,NIE ERWERBSTAETIG,IM RUHESTAND,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,MITTELSCHICHT,25.71,FAST NIE,NIE,MANCHMAL,FAST NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,MANCHMAL,MANCHMAL,NIE,.._duplicated_9
1433,MAENNLICH,48,VERHEIRAT.ZUSAM.LEB.,6000,5000 - 7499 EURO,4400,ROEMISCH-KATHOLISCH,NA,NA,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,OESTERREICH,NEIN,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,23.37,MANCHMAL,NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
1434,WEIBLICH,55,VERHEIRAT.ZUSAM.LEB.,NA,NA,940,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,30.82,MANCHMAL,NIE,IMMER,OFT,FAST NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_7
1435,MAENNLICH,54,VERHEIRAT.ZUSAM.LEB.,2200,2000 - 2249 EURO,2200,EVANG.OHNE FREIKIRCH,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,24.22,FAST NIE,NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
1436,MAENNLICH,80,VERHEIRAT.ZUSAM.LEB.,1200,1125 - 1249 EURO,1350,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,21.51,FAST NIE,FAST NIE,IMMER,MANCHMAL,NIE,NIE,MANCHMAL,FAST NIE,NIE,NIE,NIE,.._duplicated_7
1437,WEIBLICH,36,VERHEIRAT.ZUSAM.LEB.,1250,1250 - 1374 EURO,2000,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.HALBTAGS,ANGESTELLTER,DEUTSCHLAND,JA,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,MITTELSCHICHT,22.53,OFT,MANCHMAL,MANCHMAL,MANCHMAL,FAST NIE,NIE,FAST NIE,NIE,MANCHMAL,MANCHMAL,FAST NIE,.._duplicated_8
1438,MAENNLICH,28,LEDIG,1200,1125 - 1249 EURO,1200,EVANG.OHNE FREIKIRCH,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,"BEAMT,RICHTER,SOLDAT",DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,21,OFT,FAST NIE,MANCHMAL,OFT,NIE,NIE,NIE,NIE,FAST NIE,FAST NIE,FAST NIE,.._duplicated_8
1439,MAENNLICH,65,VERHEIRAT.ZUSAM.LEB.,1600,1500 - 1749 EURO,3667,EVANG.OHNE FREIKIRCH,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,27.68,FAST NIE,NIE,OFT,MANCHMAL,MANCHMAL,NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,.._duplicated_7
1440,WEIBLICH,43,VERHEIRAT.ZUSAM.LEB.,1400,1375 - 1499 EURO,1391,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,MECKLENB.-VORPOMMERN,NEUE BUNDESLAENDER,ARBEITERSCHICHT,25.83,OFT,MANCHMAL,MANCHMAL,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
1441,WEIBLICH,54,VERHEIRAT.ZUSAM.LEB.,NA,NA,467,ROEMISCH-KATHOLISCH,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,RUMAENIEN,NEIN,NIEDERSACHSEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,22.52,IMMER,MANCHMAL,NIE,OFT,IMMER,OFT,OFT,OFT,OFT,OFT,MANCHMAL,.._duplicated_5
1442,WEIBLICH,66,VERHEIRAT.ZUSAM.LEB.,NA,NA,NA,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,MITTELSCHICHT,31.07,NIE,MANCHMAL,MANCHMAL,FAST NIE,OFT,NIE,IMMER,IMMER,MANCHMAL,MANCHMAL,MANCHMAL,.._duplicated_7
1443,WEIBLICH,49,VERHEIRAT.ZUSAM.LEB.,331,300 - 399 EURO,400,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,EHEM. UDSSR,NEIN,HESSEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,31.25,MANCHMAL,NIE,OFT,OFT,MANCHMAL,NIE,MANCHMAL,MANCHMAL,NIE,NIE,FAST NIE,GANZ ZUFRIEDEN
1444,WEIBLICH,28,LEDIG,350,300 - 399 EURO,1133,EVANG.OHNE FREIKIRCH,NA,NA,FACHHOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,NA,24.22,FAST NIE,MANCHMAL,MANCHMAL,FAST NIE,MANCHMAL,OFT,FAST NIE,FAST NIE,OFT,MANCHMAL,MANCHMAL,.._duplicated_7
1445,MAENNLICH,75,VERHEIRAT.ZUSAM.LEB.,NA,2500 - 2749 EURO,1750,ROEMISCH-KATHOLISCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,28.4,NIE,NIE,IMMER,IMMER,IMMER,NIE,OFT,MANCHMAL,NIE,NIE,NIE,GANZ ZUFRIEDEN
1446,MAENNLICH,71,VERHEIRAT.ZUSAM.LEB.,1950,1750 - 1999 EURO,1867,EVANG.OHNE FREIKIRCH,NA,NA,FACHHOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,25.31,MANCHMAL,NIE,IMMER,FAST NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
1447,WEIBLICH,50,GESCHIEDEN,700,625 - 749 EURO,750,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.HALBTAGS,ARBEITER,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,30.64,MANCHMAL,MANCHMAL,IMMER,OFT,FAST NIE,MANCHMAL,FAST NIE,NIE,FAST NIE,NIE,FAST NIE,.._duplicated_7
1448,WEIBLICH,55,VERHEIRAT.ZUSAM.LEB.,2200,2000 - 2249 EURO,3333,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,OBERE MITTELSCHICHT,21.48,MANCHMAL,FAST NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
1449,MAENNLICH,29,LEDIG,1000,1000 - 1124 EURO,1000,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,NEBENHER BERUFSTAE.,NA,DEUTSCHLAND,JA,EHEM. BERLIN-OST,NEUE BUNDESLAENDER,MITTELSCHICHT,NA,MANCHMAL,FAST NIE,OFT,OFT,NIE,NIE,FAST NIE,FAST NIE,NIE,NIE,FAST NIE,.._duplicated_8
1450,MAENNLICH,19,LEDIG,NA,NA,NA,EVANG.OHNE FREIKIRCH,NA,NA,NOCH SCHUELER,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,OBERSCHICHT,23.41,FAST NIE,MANCHMAL,OFT,OFT,FAST NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
1451,MAENNLICH,71,VERHEIRAT.ZUSAM.LEB.,500,500 - 624 EURO,600,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.HALBTAGS,LANDWIRT,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,33.03,MANCHMAL,FAST NIE,OFT,OFT,NIE,NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,.._duplicated_8
1452,MAENNLICH,52,VERHEIRAT.ZUSAM.LEB.,1450,1375 - 1499 EURO,1600,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,25.76,FAST NIE,MANCHMAL,IMMER,OFT,MANCHMAL,NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,.._duplicated_8
1453,MAENNLICH,81,GESCHIEDEN,1100,1000 - 1124 EURO,1100,ROEMISCH-KATHOLISCH,NA,NA,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,ARBEITERSCHICHT,29.73,MANCHMAL,MANCHMAL,OFT,OFT,FAST NIE,FAST NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,.._duplicated_8
1454,WEIBLICH,56,VERHEIRAT.ZUSAM.LEB.,NA,NA,NA,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,23.34,MANCHMAL,NIE,IMMER,IMMER,NIE,NIE,NIE,NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
1455,MAENNLICH,34,LEDIG,1600,1500 - 1749 EURO,2400,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,28.48,FAST NIE,MANCHMAL,OFT,OFT,FAST NIE,NIE,FAST NIE,FAST NIE,NIE,NIE,NIE,.._duplicated_9
1456,WEIBLICH,64,VERHEIRAT.ZUSAM.LEB.,1000,1000 - 1124 EURO,1333,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,FACHHOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,MECKLENB.-VORPOMMERN,NEUE BUNDESLAENDER,MITTELSCHICHT,24.61,MANCHMAL,MANCHMAL,OFT,OFT,MANCHMAL,FAST NIE,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,FAST NIE,.._duplicated_8
1457,MAENNLICH,39,VERHEIRAT.ZUSAM.LEB.,1800,1750 - 1999 EURO,NA,AND.NICHT-CHRISTLICH,ERWERBSTAETIG,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,24.69,IMMER,NIE,MANCHMAL,OFT,FAST NIE,NIE,NIE,NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
1458,WEIBLICH,60,GESCHIEDEN,1150,1125 - 1249 EURO,1325,EVANG.OHNE FREIKIRCH,NA,NA,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,32.65,MANCHMAL,MANCHMAL,MANCHMAL,FAST NIE,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,OFT,OFT,OFT,.._duplicated_4
1459,MAENNLICH,48,VERHEIRAT.ZUSAM.LEB.,2200,2000 - 2249 EURO,1435,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,22.84,OFT,FAST NIE,MANCHMAL,MANCHMAL,NIE,FAST NIE,MANCHMAL,FAST NIE,FAST NIE,FAST NIE,NIE,.._duplicated_6
1460,MAENNLICH,29,VERHEIRAT.ZUSAM.LEB.,1500,1500 - 1749 EURO,1048,AND.NICHT-CHRISTLICH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,TUERKEI,NEIN,HESSEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,30.46,FAST NIE,NIE,IMMER,OFT,OFT,NIE,FAST NIE,NIE,NIE,NIE,NIE,.._duplicated_5
1461,MAENNLICH,57,VERHEIRAT.ZUSAM.LEB.,1900,1750 - 1999 EURO,2333,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,OBERE MITTELSCHICHT,26.81,IMMER,OFT,NIE,FAST NIE,NIE,OFT,NIE,NIE,NIE,NIE,OFT,.._duplicated_5
1462,WEIBLICH,67,VERWITWET,592,500 - 624 EURO,592,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,FACHHOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,ARBEITERSCHICHT,21.05,IMMER,OFT,NIE,MANCHMAL,NIE,OFT,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,FAST NIE,..
1463,MAENNLICH,18,LEDIG,500,500 - 624 EURO,1100,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,IN AUSBILDUNG,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,ARBEITERSCHICHT,31.86,OFT,NIE,OFT,MANCHMAL,FAST NIE,OFT,FAST NIE,FAST NIE,NIE,NIE,FAST NIE,.._duplicated_6
1464,MAENNLICH,36,VERHEIRAT.ZUSAM.LEB.,NA,1375 - 1499 EURO,1522,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,25.97,OFT,FAST NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_7
1465,WEIBLICH,35,VERHEIRAT.ZUSAM.LEB.,400,400 - 499 EURO,NA,ROEMISCH-KATHOLISCH,NA,NA,"VOLKS-,HAUPTSCHULE",NEBENHER BERUFSTAE.,NA,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,39.06,OFT,MANCHMAL,FAST NIE,OFT,NIE,NIE,NIE,NIE,FAST NIE,FAST NIE,NIE,.._duplicated_7
1466,WEIBLICH,21,LEDIG,1500,1500 - 1749 EURO,2000,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,24.38,FAST NIE,OFT,FAST NIE,FAST NIE,FAST NIE,MANCHMAL,MANCHMAL,FAST NIE,MANCHMAL,FAST NIE,MANCHMAL,.._duplicated_6
1467,MAENNLICH,50,LEDIG,2570,2500 - 2749 EURO,500,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,ARBEITERSCHICHT,28.73,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,.._duplicated_8
1468,WEIBLICH,29,VERHEIRAT.ZUSAM.LEB.,558,500 - 624 EURO,917,EVANG.OHNE FREIKIRCH,NA,NA,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,23.88,OFT,MANCHMAL,MANCHMAL,MANCHMAL,NIE,FAST NIE,NIE,NIE,FAST NIE,FAST NIE,NIE,GANZ ZUFRIEDEN
1469,MAENNLICH,70,VERHEIRAT.ZUSAM.LEB.,208,200 - 299 EURO,1000,ROEMISCH-KATHOLISCH,NA,NA,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,MITTELSCHICHT,38.48,NIE,NIE,IMMER,FAST NIE,FAST NIE,NIE,MANCHMAL,MANCHMAL,NIE,NIE,FAST NIE,.._duplicated_7
1470,MAENNLICH,71,VERHEIRAT.ZUSAM.LEB.,NA,1500 - 1749 EURO,NA,ROEMISCH-KATHOLISCH,NA,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,MITTELSCHICHT,29.01,FAST NIE,FAST NIE,OFT,OFT,MANCHMAL,NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,GANZ ZUFRIEDEN
1471,MAENNLICH,48,VERHEIRAT.ZUSAM.LEB.,2200,2000 - 2249 EURO,1400,ROEMISCH-KATHOLISCH,NA,NA,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,27.76,FAST NIE,MANCHMAL,IMMER,OFT,NIE,NIE,NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,.._duplicated_8
1472,WEIBLICH,65,VERHEIRAT.ZUSAM.LEB.,950,875 - 999 EURO,1467,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NEBENHER BERUFSTAE.,NA,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,24.84,FAST NIE,FAST NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
1473,WEIBLICH,33,VERHEIRAT.ZUSAM.LEB.,2000,2000 - 2249 EURO,NA,EVANG.OHNE FREIKIRCH,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.HALBTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,"JA, UND ANDERE",HESSEN,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,22.03,OFT,MANCHMAL,FAST NIE,FAST NIE,MANCHMAL,FAST NIE,MANCHMAL,FAST NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
1474,MAENNLICH,48,VERHEIRAT.ZUSAM.LEB.,2000,2000 - 2249 EURO,2667,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,27.47,MANCHMAL,FAST NIE,FAST NIE,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
1475,MAENNLICH,35,LEDIG,1600,1500 - 1749 EURO,2067,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,ARBEITERSCHICHT,24.42,MANCHMAL,MANCHMAL,FAST NIE,NIE,NIE,OFT,NIE,NIE,NIE,NIE,NIE,.._duplicated_6
1476,MAENNLICH,37,LEDIG,3500,3000 - 3999 EURO,2333,EVANG.OHNE FREIKIRCH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,25.88,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,NIE,NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,NIE,.._duplicated_8
1477,WEIBLICH,36,VERHEIRAT.ZUSAM.LEB.,450,400 - 499 EURO,NA,ROEMISCH-KATHOLISCH,NA,NA,MITTLERE REIFE,NEBENHER BERUFSTAE.,NA,EHEM.JUGOSLAWIEN,NEIN,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,ARBEITERSCHICHT,24.22,MANCHMAL,NIE,OFT,IMMER,MANCHMAL,NIE,FAST NIE,FAST NIE,NIE,NIE,NIE,.._duplicated_8
1478,MAENNLICH,32,LEDIG,1200,1125 - 1249 EURO,1250,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,26.2,OFT,OFT,MANCHMAL,FAST NIE,NIE,OFT,NIE,NIE,OFT,MANCHMAL,FAST NIE,.._duplicated_5
1479,WEIBLICH,70,VERHEIRAT.ZUSAM.LEB.,NA,NA,NA,ROEMISCH-KATHOLISCH,NA,NA,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,22.66,NIE,NIE,OFT,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
1480,WEIBLICH,67,VERWITWET,700,625 - 749 EURO,700,ROEMISCH-KATHOLISCH,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,MITTELSCHICHT,24.86,IMMER,OFT,FAST NIE,NIE,FAST NIE,OFT,OFT,OFT,OFT,OFT,MANCHMAL,.._duplicated_3
1481,MAENNLICH,36,LEDIG,1500,1500 - 1749 EURO,1500,KEINER RELIGIONSGEM.,NA,NA,OHNE ABSCHLUSS,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,ARBEITERSCHICHT,30.52,MANCHMAL,NIE,OFT,FAST NIE,NIE,FAST NIE,MANCHMAL,FAST NIE,NIE,NIE,NIE,.._duplicated_7
1482,MAENNLICH,40,VERHEIRAT.ZUSAM.LEB.,NA,NA,NA,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,EHEM.JUGOSLAWIEN,NEIN,SCHLESWIG-HOLSTEIN,ALTE BUNDESLAENDER,MITTELSCHICHT,28.41,IMMER,OFT,MANCHMAL,IMMER,IMMER,NIE,OFT,OFT,MANCHMAL,MANCHMAL,MANCHMAL,..
1483,MAENNLICH,48,GESCHIEDEN,1900,1750 - 1999 EURO,1900,KEINER RELIGIONSGEM.,NA,NA,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,ARBEITERSCHICHT,25.95,NIE,NIE,IMMER,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_4
1484,WEIBLICH,35,VERHEIRAT.ZUSAM.LEB.,1300,1250 - 1374 EURO,1933,ROEMISCH-KATHOLISCH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,MITTELSCHICHT,20.58,OFT,MANCHMAL,OFT,MANCHMAL,MANCHMAL,FAST NIE,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,NIE,.._duplicated_7
1485,MAENNLICH,70,VERHEIRAT.ZUSAM.LEB.,NA,1750 - 1999 EURO,233,ROEMISCH-KATHOLISCH,NIE ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SAARLAND,ALTE BUNDESLAENDER,ARBEITERSCHICHT,33.61,NIE,NIE,IMMER,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_7
1486,WEIBLICH,30,LEDIG,1300,1250 - 1374 EURO,813,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,MITTELSCHICHT,20.52,IMMER,MANCHMAL,MANCHMAL,MANCHMAL,OFT,NIE,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,NIE,.._duplicated_5
1487,WEIBLICH,69,GESCHIEDEN,1000,1000 - 1124 EURO,1000,KEINER RELIGIONSGEM.,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,21.26,NIE,MANCHMAL,OFT,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
